фирмы,услуги,размер,отрасль,наличие_целей_по_улучшению_окр_среды,наличие_менеджера_по_окр_среде,отслеживание_выбросов_CO2,наличие_целевых_уровней_выбросов_CO2,прим_более_благ_ист_энерго,минимал_отходов,меры_по_огр_загряз_воздуха,меры_по_огр_загрязн_возд,наличие_выбросов_CO2
2285,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2287,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2305,Другие Услуги,Малый,Информация и ее распространение,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2308,Другие Услуги,Малый,Разработка,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2311,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Не применимо,Нет,Нет
2312,Готовые Металлические Изделия,Крупный,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2319,Еда,Крупный,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2320,Еда,Крупный,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2321,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2322,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2323,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2324,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2325,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2329,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2338,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2339,Машины и оборудование,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2341,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2344,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2348,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2350,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2351,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2352,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
2353,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2354,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2357,Другое Производство,Малый,Производство,Да,Нет,,Нет,Нет,Да,Нет,Нет,Нет
2366,Другие Услуги,Средний,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2370,Другие Услуги,Средний,Строительство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2373,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2376,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2378,Другие Услуги,Средний,Сфера услуг,Нет,Нет,,Нет,Нет,Нет,Не применимо,Нет,Нет
2379,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2382,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2385,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2405,Другие Услуги,Крупный,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Не знаю,Нет
2406,Другие Услуги,Крупный,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2407,Другие Услуги,Средний,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2409,Другие Услуги,Крупный,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Не знаю,Нет
2413,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2415,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2416,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2418,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2421,Другие Услуги,Средний,Сфера услуг,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2422,Другие Услуги,Крупный,Транспорт,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2429,Другие Услуги,Малый,Разработка,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2434,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Не применимо,Нет,Не применимо,Нет,Нет
2435,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2436,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2533,Еда,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2535,Готовые Металлические Изделия,Крупный,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2541,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2549,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2552,Другие Услуги,Малый,Строительство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2559,Другие Услуги,Малый,Сфера услуг,Нет,Нет,,Нет,Нет,Нет,Не применимо,Не применимо,Нет
2563,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2568,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
2569,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2585,Другие Услуги,Малый,Строительство,Нет,Нет,,Нет,Нет,Нет,Не применимо,Нет,Нет
2610,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2622,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2623,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2624,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2642,Другие Услуги,Малый,Разработка,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2649,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Не применимо,Не применимо,Нет
2653,Еда,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
